Coloumn 1,Name,Column 1,Age,Games Played,Sv Percentage,GAA,SO,Wins,Losses
14,"Markstrom, Jacob",,35,49,0.9,2.5,4,26,16
18,"Merzlikins, Elvis",,31,53,0.892,3.18,1,26,21
26,"Lankinen, Kevin",,30,51,0.902,2.62,4,25,15
62,"Pickard, Calvin",,33,36,0.899,2.71,0,22,10
56,"Ersson, Samuel",,25,47,0.882,3.14,2,22,17
42,"Talbot, Cam",,38,47,0.901,2.93,2,21,19
37,"Lindgren, Charlie",,31,39,0.896,2.73,1,20,14
32,"Hofer, Joel",,25,31,0.904,2.65,1,16,8
19,"Jarry, Tristan",,30,36,0.893,3.12,2,16,12
63,"Rittich, David",,33,34,0.887,2.84,0,16,14
67,"Annunen, Justus",,25,34,0.882,3.18,0,15,15
61,"DeSmith, Casey",,34,27,0.915,2.59,2,14,8
53,"Wedgewood, Scott",,33,24,0.908,2.34,2,14,6
54,"Lyon, Alex",,32,30,0.896,2.81,1,14,9
44,"Nedeljkovic, Alex",,29,38,0.894,3.12,1,14,15
51,"Allen, Jake",,35,31,0.908,2.66,4,13,16
40,"Andersen, Frederik",,35,22,0.898,2.5,1,13,8
33,"Vladar, Dan",,28,30,0.898,2.8,2,12,11
28,"Mrazek, Petr",,33,38,0.891,3.33,1,12,21
12,"Gibson, John",,32,29,0.912,2.77,0,11,11
45,"Forsberg, Anton",,32,30,0.901,2.72,3,11,12
29,"Korpisalo, Joonas",,31,27,0.893,2.9,3,11,10
52,"Quick, Jonathan",,39,24,0.893,3.17,3,11,7
39,"Soderblom, Arvid",,26,36,0.898,3.18,0,10,18
68,"Comrie, Eric",,30,20,0.914,2.39,2,9,10
57,"Johansson, Jonas",,29,19,0.894,3.13,1,9,6
50,"Ingram, Connor",,28,22,0.882,3.27,0,9,8
60,"Merilainen, Leevi",,23,12,0.925,1.99,3,8,3
16,"Grubauer, Philipp",,33,26,0.875,3.49,0,8,17
59,"Tarasov, Daniil",,26,20,0.881,3.54,1,7,10
35,"Fedotov, Ivan",,28,26,0.88,3.14,0,6,13
55,"Vanecek, Vitek",,29,25,0.884,3.63,1,5,14
38,"Varlamov, Semyon",,37,10,0.889,2.89,0,3,4
64,"Schmid, Akira",,25,5,0.944,1.26,0,2,0
46,"Husso, Ville",,30,13,0.884,3.47,0,2,6
65,"Silovs, Arturs",,24,10,0.861,3.65,0,2,6
58,"Kahkonen, Kaapo",,29,2,0.8,4.12,0,0,2
34,"Brossoit, Laurent",,32,0,0,0,0,0,0
70,"Cooley, Devin",,28,0,0,0,0,0,0
