Column 1,Name,Column 2,Age,Position,Games Played,Goals,Assists,Points
20,"Duchene, Matt",,34,C,82,30,52,82
45,"Rakell, Rickard",,32,C,81,35,35,70
60,"Tuch, Alex",,29,R,82,36,31,67
57,"Kopitar, Anze",,37,C,81,21,46,67
58,"Kadri, Nazem",,34,C,82,35,32,67
61,"Hintz, Roope",,28,C,76,28,39,67
65,"Protas, Aliaksei",,24,C,76,30,36,66
63,"Granlund, Mikael",,33,C,83,22,44,66
64,"Dubois, Pierre-Luc",,27,C,82,20,46,66
68,"Rust, Bryan",,33,R,71,31,34,65
69,"Wilson, Tom",,31,R,81,33,32,65
71,"Schmaltz, Nick",,29,C,82,20,43,63
70,"Ehlers, Nikolaj",,29,L,69,24,39,63
78,"Donato, Ryan",,29,C,80,31,31,62
76,"Zibanejad, Mika",,32,C,82,20,42,62
75,"Huberdeau, Jonathan",,32,L,81,28,34,62
79,"Hertl, Tomas",,31,C,73,32,29,61
86,"Kane, Patrick",,36,R,72,21,38,59
87,"Trocheck, Vincent",,32,C,82,26,33,59
88,"Cirelli, Anthony",,28,C,80,27,32,59
91,"Knies, Matthew",,22,L,78,29,29,58
89,"Teravainen, Teuvo",,30,C,82,15,43,58
92,"Geekie, Morgan",,27,C,77,33,24,57
96,"Monahan, Sean",,30,C,54,19,38,57
99,"Buchnevich, Pavel",,30,C,76,20,37,57
97,"Horvat, Bo",,30,C,81,28,29,57
102,"Marchessault, Jonathan",,34,L,78,21,35,56
101,"Nelson, Brock",,33,C,80,26,30,56
104,"Terry, Troy",,27,C,77,21,34,55
110,"Zuccarello, Mats",,37,R,69,19,35,54
108,"Lee, Anders",,35,L,82,29,25,54
118,"McLeod, Ryan",,25,C,79,20,33,53
115,"Verhaeghe, Carter",,29,C,81,20,33,53
112,"O'Reilly, Ryan",,34,C,79,21,32,53
114,"Zucker, Jason",,33,L,73,21,32,53
116,"Meier, Timo",,28,R,80,26,27,53
113,"Karlsson, Erik",,35,D,82,11,42,53
126,"Bennett, Sam",,29,C,76,25,26,51
125,"Barbashev, Ivan",,29,C,70,23,28,51
122,"Marchand, Brad",,37,C,71,23,28,51
124,"Stephenson, Chandler",,31,C,78,13,38,51
133,"Perfetti, Cole",,23,C,82,18,32,50
130,"Garland, Conor",,29,R,81,19,31,50
127,"Malkin, Evgeni",,38,C,68,16,34,50
128,"Giroux, Claude",,37,C,81,15,35,50
129,"Schenn, Brayden",,33,C,82,18,32,50
131,"Boeser, Brock",,28,R,75,25,25,50
136,"Nugent-Hopkins, Ryan",,32,C,78,20,29,49
135,"Schwartz, Jaden",,33,L,81,26,23,49
134,"Benn, Jamie",,36,L,80,16,33,49
137,"Palmieri, Kyle",,34,R,82,24,24,48
138,"DeBrusk, Jake",,28,L,82,28,20,48
139,"Svechnikov, Andrei",,25,R,72,20,28,48
141,"Voronkov, Dmitri",,24,C,73,23,24,47
146,"Marchment, Mason",,30,L,62,22,25,47
145,"Zacha, Pavel",,28,C,82,14,33,47
143,"Weegar, MacKenzie",,31,D,81,8,39,47
144,"Lindholm, Elias",,30,C,82,17,30,47
154,"Neighbours, Jake",,23,L,82,22,24,46
151,"Suter, Pius",,29,C,81,25,21,46
152,"Hayton, Barrett",,25,C,82,20,26,46
150,"Foegele, Warren",,29,L,82,24,22,46
149,"Bjorkstrand, Oliver",,30,R,79,21,25,46
