ID,LastName,FirstName,Pos,CapHit
8475168,Duchene,Matt,C,4500000.0
8476483,Rakell,Rickard,R,5000000.0
8477949,Tuch,Alex,R,4750000.0
8471685,Kopitar,Anze,C,7000000.0
8475172,Kadri,Nazem,C,7000000.0
8478449,Hintz,Roope,C,8450000.0
8481656,Protas,Aliaksei,C,3375000.0
8475798,Granlund,Mikael,C,7000000.0
8479400,Dubois,Pierre-Luc,L,8500000.0
8475810,Rust,Bryan,R,5125000.0
8476880,Wilson,Tom,R,6500000.0
8477951,Schmaltz,Nick,C,5850000.0
8477940,Ehlers,Nikolaj,L,8500000.0
8477987,Donato,Ryan,C,4000000.0
8476459,Zibanejad,Mika,C,8500000.0
8476456,Huberdeau,Jonathan,L,10500000.0
8476881,Hertl,Tomas,C,6750000.0
8474141,Kane,Patrick,R,3000000.0
8476389,Trocheck,Vincent,C,5625000.0
8478519,Cirelli,Anthony,C,6250000.0
8482720,Knies,Matthew,L,7750000.0
8476882,Teravainen,Teuvo,C,5400000.0
8479987,Geekie,Morgan,C,5500000.0
8477497,Monahan,Sean,C,5500000.0
8477402,Buchnevich,Pavel,L,8000000.0
8477500,Horvat,Bo,C,8500000.0
8476539,Marchessault,Jonathan,C,5500000.0
8475754,Nelson,Brock,C,7500000.0
8478873,Terry,Troy,R,7000000.0
8475692,Zuccarello,Mats,R,4125000.0
8475314,Lee,Anders,L,7000000.0
8480802,McLeod,Ryan,C,5000000.0
8477409,Verhaeghe,Carter,C,7000000.0
8475158,O'Reilly,Ryan,C,4500000
8475722,Zucker,Jason,L,4750000.0
8478414,Meier,Timo,R,8800000.0
8474578,Karlsson,Erik,D,10000000.0
8477935,Bennett,Sam,C,8000000.0
8477964,Barbashev,Ivan,C,5000000.0
8473419,Marchand,Brad,C,5250000.0
8476905,Stephenson,Chandler,C,6250000.0
8482149,Perfetti,Cole,C,3250000.0
8478856,Garland,Conor,R,4950000.0
8471215,Malkin,Evgeni,C,6100000.0
8473512,Giroux,Claude,R,2000000.0
8475170,Schenn,Brayden,C,6500000.0
8478444,Boeser,Brock,R,7250000.0
8476454,Nugent-Hopkins,Ryan,C,5125000.0
8475768,Schwartz,Jaden,L,5500000.0
8473994,Benn,Jamie,L,1000000.0
8475151,Palmieri,Kyle,C,4750000.0
8478498,DeBrusk,Jake,L,5500000.0
8480830,Svechnikov,Andrei,R,7750000.0
8481716,Voronkov,Dmitri,L,4175000.0
8478975,Marchment,Mason,L,4500000.0
8478401,Zacha,Pavel,C,4750000.0
8477346,Weegar,MacKenzie,D,6250000.0
8477496,Lindholm,Elias,C,7750000.0
8482089,Neighbours,Jake,L,3750000.0
8480459,Suter,Pius,C,4125000.0
8480849,Hayton,Barrett,C,2650000.0
8477998,Foegele,Warren,L,3500000.0
8477416,Bjorkstrand,Oliver,R,5400000.0
8477479,Bertuzzi,Tyler,L,5500000.0
8482157,Cuylle,Will,L,3900000.0
8481601,Holmstrom,Simon,R,3625000.0
8478366,Vatrano,Frank,R,4571189.0
8477476,Lehkonen,Artturi,L,4500000.0
8482113,Lundell,Anton,C,5000000.0
8476461,Couturier,Sean,C,7750000.0
8478469,Chabot,Thomas,D,8000000.0
8481554,Kakko,Kaapo,R,4525000.0
8478038,Toews,Devon,D,7250000.0
8482159,Foerster,Tyson,R,3750000.0
8476479,Danault,Phillip,C,5500000.0
8480015,Tippett,Owen,R,6200000.0
8482665,Beniers,Matthew,C,7142857.0
8482155,Laferriere,Alex,R,4100000.0
8476419,Pageau,Jean-Gabriel,C,5000000.0
8475791,Hall,Taylor,L,3166667.0
8480188,Zetterlund,Fabian,L,4275000.0
8481553,Brink,Bobby,R,1500000.0
8476474,Noesen,Stefan,R,2750000.0
8477426,Paul,Nick,L,3150000
8476458,Strome,Ryan,C,5000000.0
8477986,Montour,Brandon,D,7142857.0
8480748,Sherwood,Kiefer,L,1500000.0
8479353,Howden,Brett,C,2500000.0
8474149,Dadonov,Evgenii,R,1000000.0
8476891,Grzelcyk,Matt,,2750000
8478013,Walman,Jake,D,3400000.0
8479675,Moore,Trevor,L,4200000.0
8475191,Smith,Reilly,R,2000000.0
8479999,Mittelstadt,Casey,C,5750000.0
8475764,Fowler,Cam,D,4000000.0
8482671,Power,Owen,D,8350000.0
8476462,Hamilton,Dougie,D,9000000.0
8482097,Quinn,Jack,R,3375000.0
8478458,Roslovic,Jack,,0.0
8476399,Coleman,Blake,L,4900000.0
8480145,Pionk,Neal,D,7000000.0
8478396,Hanifin,Noah,D,7350000.0
8478407,Dunn,Vince,D,7350000.0
8476480,Namestnikov,Vladislav,C,3000000.0
8481524,Byram,Bowen,D,6250000.0
8478047,Bunting,Michael,L,4500000.0
8475848,Gallagher,Brendan,R,6500000.0
8478178,Raddysh,Darren,D,975000.0
8477919,Gaudreau,Frederick,C,2100000.0
8480028,Frost,Morgan,C,4375000.0
8477494,Drouin,Jonathan,L,4000000.0
