ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_goals,proj_assists,proj_points,proj_ppg,proj_ppa,proj_sog
8482720,Knies,Matthew,L,7750000.0,82,20,27,47,3,9,137
8475168,Duchene,Matt,C,4500000.0,82,28,46,74,7,21,167
8483490,Mintyukov,Pavel,D,918333.0,82,6,17,23,0,4,83
8477949,Tuch,Alex,R,4750000.0,82,33,37,70,4,13,208
8476483,Rakell,Rickard,R,5000000.0,82,28,32,60,8,15,208
8478449,Hintz,Roope,C,8450000.0,82,32,40,72,8,21,183
8481656,Protas,Aliaksei,C,3375000.0,82,19,30,49,0,1,136
8477940,Ehlers,Nikolaj,L,8500000.0,82,26,43,69,4,19,221
8484145,Benson,Zach,L,950000.0,82,11,20,31,3,4,131
8481711,Maccelli,Matias,L,3425000.0,82,0,0,0,0,0,0
8482149,Perfetti,Cole,C,3250000.0,82,18,29,48,5,13,150
8475172,Kadri,Nazem,C,7000000.0,82,31,37,68,10,22,276
8477346,Weegar,MacKenzie,D,6250000.0,82,13,36,49,4,19,195
8483506,Rinzel,Sam,D,941667.0,82,0,0,0,0,0,0
8482762,Edvinsson,Simon,D,894167.0,82,7,25,33,0,0,90
8476459,Zibanejad,Mika,C,8500000.0,82,25,45,70,11,26,208
8476454,Nugent-Hopkins,Ryan,C,5125000.0,82,23,43,66,8,28,182
8482097,Quinn,Jack,R,3375000.0,82,21,28,49,3,12,150
8478444,Boeser,Brock,R,7250000.0,82,30,32,62,11,22,181
8480434,Durzi,Sean,D,6000000.0,82,0,0,0,0,0,0
8481524,Byram,Bowen,D,6250000.0,82,10,30,39,0,3,95
8481554,Kakko,Kaapo,R,4525000.0,82,17,23,40,4,7,121
8478493,Eriksson Ek,Joel,C,5250000.0,82,25,27,52,9,18,250
8478178,Raddysh,Darren,D,975000.0,82,6,32,38,2,9,113
8480830,Svechnikov,Andrei,R,7750000.0,82,25,38,63,9,22,213
8480802,McLeod,Ryan,C,5000000.0,82,17,26,43,0,1,105
