ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_w,proj_gaa,proj_svp
8474593,Markstrom,Jacob,G,4125000,55,27,2.66,0.901
8478007,Merzlikins,Elvis,G,5400000,55,21,3.45,0.891
8480947,Lankinen,Kevin,G,4500000,55,26,2.71,0.906
8475717,Pickard,Calvin,G,1000000,55,29,2.89,0.899
8481035,Ersson,Samuel,G,1450000,55,26,3.02,0.888
8475660,Talbot,Cam,G,2500000,55,26,2.79,0.905
8479292,Lindgren,Charlie,G,3000000,55,27,2.76,0.902
8480981,Hofer,Joel,G,3400000,55,28,2.74,0.907
8477465,Jarry,Tristan,G,5375000,55,24,3.01,0.899
8479496,Rittich,David,G,1000000,55,27,2.58,0.901
8481020,Annunen,Justus,G,837500,55,26,2.93,0.895
8479193,DeSmith,Casey,G,1000000,55,25,2.79,0.907
8475809,Wedgewood,Scott,G,1500000,55,32,2.4,0.911
8479312,Lyon,Alex,G,1500000,55,27,2.9,0.902
8477968,Nedeljkovic,Alex,G,2500000,55,22,3.14,0.897
8474596,Allen,Jake,G,1800000,55,23,2.96,0.903
8475883,Andersen,Frederik,G,2750000,55,37,2.28,0.911
8478435,Vladar,Dan,G,3350000,55,23,3.09,0.892
8475852,Mrazek,Petr,G,4250000,55,19,2.87,0.903
8476434,Gibson,John,G,6400000,55,18,3.23,0.902
8476341,Forsberg,Anton,G,2250000,55,23,2.97,0.898
8476914,Korpisalo,Joonas,G,3000000,55,24,2.9,0.897
8471734,Quick,Jonathan,G,1550000,55,29,2.98,0.9
8482821,Soderblom,Arvid,G,2750000,55,12,3.47,0.891
8477480,Comrie,Eric,G,825000,55,20,3.04,0.896
8477992,Johansson,Jonas,G,1250000,55,28,3.04,0.899
8478971,Ingram,Connor,G,1950000,55,22,3.17,0.894
8475831,Grubauer,Philipp,G,5900000,55,20,3.17,0.886
8480193,Tarasov,Daniil,G,1050000,55,18,3.48,0.892
8478905,Fedotov,Ivan,G,3275000,55,8,3.87,0.852
8477970,Vanecek,Vitek,G,1500000,55,21,3.07,0.89
8473575,Varlamov,Semyon,G,2750000,55,21,2.77,0.901
8481033,Schmid,Akira,G,875000,55,19,2.02,0.925
8478024,Husso,Ville,G,2200000,55,19,3.21,0.912
8481668,Silovs,Arturs,G,850000,55,23,3.18,0.869
8478039,Kahkonen,Kaapo,G,1150000,55,4,3.48,0.849
8482445,Cooley,Devin,G,775000,55,18,4.98,0.87
