ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_goals,proj_assists,proj_points,proj_ppg,proj_ppa,proj_sog
8475168,Duchene,Matt,C,4500000.0,82,28,46,74,7,21,167
8476483,Rakell,Rickard,R,5000000.0,82,28,32,60,8,15,208
8477949,Tuch,Alex,R,4750000.0,82,33,37,70,4,13,208
8471685,Kopitar,Anze,C,7000000.0,82,24,46,70,6,22,123
8475172,Kadri,Nazem,C,7000000.0,82,31,37,68,10,22,276
8478449,Hintz,Roope,C,8450000.0,82,32,40,72,8,21,183
8481656,Protas,Aliaksei,C,3375000.0,82,19,30,49,0,1,136
8475798,Granlund,Mikael,C,7000000.0,82,15,40,55,0,14,135
8479400,Dubois,Pierre-Luc,L,8500000.0,82,20,38,58,6,14,158
8475810,Rust,Bryan,R,5125000.0,82,34,36,70,5,16,232
8476880,Wilson,Tom,R,6500000.0,82,29,26,55,9,14,182
8477951,Schmaltz,Nick,C,5850000.0,82,22,43,65,9,22,176
8477940,Ehlers,Nikolaj,L,8500000.0,82,26,43,69,4,19,221
8477987,Donato,Ryan,C,4000000.0,82,23,25,47,3,9,169
8476459,Zibanejad,Mika,C,8500000.0,82,25,45,70,11,26,208
8476456,Huberdeau,Jonathan,L,10500000.0,82,21,38,58,7,21,147
8476881,Hertl,Tomas,C,6750000.0,82,31,32,63,13,26,181
8476389,Trocheck,Vincent,C,5625000.0,82,25,41,66,8,17,210
8478519,Cirelli,Anthony,C,6250000.0,82,23,29,53,3,5,153
8482720,Knies,Matthew,L,7750000.0,82,20,27,47,3,9,137
8476882,Teravainen,Teuvo,C,5400000.0,82,19,37,55,8,20,136
8479987,Geekie,Morgan,C,5500000.0,82,25,24,50,4,9,143
8477497,Monahan,Sean,C,5500000.0,82,28,44,72,8,17,181
8477402,Buchnevich,Pavel,L,8000000.0,82,26,41,67,6,17,176
8477500,Horvat,Bo,C,8500000.0,82,28,31,59,5,11,246
8476539,Marchessault,Jonathan,C,5500000.0,82,30,33,63,6,21,239
8475754,Nelson,Brock,C,7500000.0,82,30,33,64,8,16,187
8478873,Terry,Troy,R,7000000.0,82,23,38,61,5,13,199
8475692,Zuccarello,Mats,R,4125000.0,82,20,49,69,5,28,193
8475314,Lee,Anders,L,7000000.0,82,26,22,48,5,9,215
8480802,McLeod,Ryan,C,5000000.0,82,17,26,43,0,1,105
8477409,Verhaeghe,Carter,C,7000000.0,82,29,36,65,7,18,257
8475158,O'Reilly,Ryan,C,4500000.0,82,24,38,62,9,21,161
8475722,Zucker,Jason,L,4750000.0,82,24,25,49,8,15,185
8478414,Meier,Timo,R,8800000.0,82,30,27,57,10,17,251
8477935,Bennett,Sam,C,8000000.0,82,25,28,52,7,13,240
8477964,Barbashev,Ivan,C,5000000.0,82,23,31,54,3,5,126
8473419,Marchand,Brad,C,5250000.0,82,22,29,51,4,14,181
8476905,Stephenson,Chandler,C,6250000.0,82,15,41,56,3,17,94
8482149,Perfetti,Cole,C,3250000.0,82,18,29,48,5,13,150
8478856,Garland,Conor,R,4950000.0,82,19,30,49,4,12,181
8471215,Malkin,Evgeni,C,6100000.0,82,23,43,66,6,22,182
8473512,Giroux,Claude,R,2000000.0,82,20,39,60,4,19,167
8475170,Schenn,Brayden,C,6500000.0,82,19,32,51,3,10,153
8478444,Boeser,Brock,R,7250000.0,82,30,32,62,11,22,181
8476454,Nugent-Hopkins,Ryan,C,5125000.0,82,23,43,66,8,28,182
8475768,Schwartz,Jaden,L,5500000.0,82,23,23,46,7,11,182
8473994,Benn,Jamie,L,1000000.0,82,21,37,58,5,17,156
8475151,Palmieri,Kyle,C,4750000.0,82,26,24,50,7,12,187
8478498,DeBrusk,Jake,L,5500000.0,82,26,22,48,9,16,189
8480830,Svechnikov,Andrei,R,7750000.0,82,25,38,63,9,22,213
8481716,Voronkov,Dmitri,L,4175000.0,82,23,23,47,8,11,166
8478975,Marchment,Mason,L,4500000.0,82,26,32,59,6,12,167
8478401,Zacha,Pavel,C,4750000.0,82,17,36,53,4,11,141
8477346,Weegar,MacKenzie,D,6250000.0,82,13,36,49,4,19,195
8477496,Lindholm,Elias,C,7750000.0,82,18,26,43,5,12,144
8482089,Neighbours,Jake,L,3750000.0,82,25,19,44,7,13,135
8480459,Suter,Pius,C,4125000.0,82,22,20,42,2,5,135
8480849,Hayton,Barrett,C,2650000.0,82,15,23,38,5,11,159
8477998,Foegele,Warren,L,3500000.0,82,22,22,44,1,2,200
8477416,Bjorkstrand,Oliver,R,5400000.0,82,22,27,48,6,21,156
8477479,Bertuzzi,Tyler,L,5500000.0,82,22,23,45,8,14,144
8482157,Cuylle,Will,L,3900000.0,82,17,18,36,2,3,139
8481601,Holmstrom,Simon,R,3625000.0,82,20,21,40,1,4,94
8478366,Vatrano,Frank,R,4571189.0,82,28,24,51,7,11,251
8477476,Lehkonen,Artturi,L,4500000.0,82,31,26,57,6,12,181
8482113,Lundell,Anton,C,5000000.0,82,16,27,43,2,6,168
8476461,Couturier,Sean,C,7750000.0,82,14,31,45,2,6,182
8478469,Chabot,Thomas,D,8000000.0,82,11,36,47,1,9,186
8481554,Kakko,Kaapo,R,4525000.0,82,17,23,40,4,7,121
8478038,Toews,Devon,D,7250000.0,82,11,37,48,1,4,153
8482159,Foerster,Tyson,R,3750000.0,82,24,16,40,5,8,157
8476479,Danault,Phillip,C,5500000.0,82,12,34,46,2,4,143
8480015,Tippett,Owen,R,6200000.0,82,25,25,50,2,8,242
8482665,Beniers,Matthew,C,7142857.0,82,18,23,42,6,11,145
8482155,Laferriere,Alex,R,4100000.0,82,17,19,36,1,4,183
8476419,Pageau,Jean-Gabriel,C,5000000.0,82,13,26,39,2,4,115
8475791,Hall,Taylor,L,3166667.0,82,21,21,42,6,13,164
8480188,Zetterlund,Fabian,L,4275000.0,82,15,15,30,5,9,180
8481553,Brink,Bobby,R,1500000.0,82,14,25,39,3,5,112
8476474,Noesen,Stefan,R,2750000.0,82,20,21,41,8,14,149
8477426,Paul,Nick,L,3150000.0,82,24,21,45,5,9,152
8476458,Strome,Ryan,C,5000000.0,82,11,31,42,1,10,137
8477986,Montour,Brandon,D,7142857.0,82,15,26,41,4,15,224
8480748,Sherwood,Kiefer,L,1500000.0,82,17,21,38,0,1,142
8479353,Howden,Brett,C,2500000.0,82,18,15,33,0,0,111
8474149,Dadonov,Evgenii,R,1000000.0,82,20,19,39,4,6,119
8476891,Grzelcyk,Matt,,2750000.0,82,2,28,30,0,9,87
8478013,Walman,Jake,D,3400000.0,82,10,28,37,1,5,184
8479675,Moore,Trevor,L,4200000.0,82,25,26,51,1,5,204
8475191,Smith,Reilly,R,2000000.0,82,13,30,43,3,8,159
8479999,Mittelstadt,Casey,C,5750000.0,82,18,16,35,5,7,108
8475764,Fowler,Cam,D,4000000.0,82,11,40,51,3,15,113
8482671,Power,Owen,D,8350000.0,82,7,32,39,1,6,133
8482097,Quinn,Jack,R,3375000.0,82,21,28,49,3,12,150
8478458,Roslovic,Jack,,0.0,82,19,19,37,1,3,138
8476399,Coleman,Blake,L,4900000.0,82,22,24,46,4,4,197
8480145,Pionk,Neal,D,7000000.0,82,9,32,41,3,12,146
8478396,Hanifin,Noah,D,7350000.0,82,10,35,45,5,15,160
8478407,Dunn,Vince,D,7350000.0,82,15,42,57,4,18,175
8476480,Namestnikov,Vladislav,C,3000000.0,82,12,28,40,3,9,99
8481524,Byram,Bowen,D,6250000.0,82,10,30,39,0,3,95
8478047,Bunting,Michael,L,4500000.0,82,23,31,54,7,13,209
8475848,Gallagher,Brendan,R,6500000.0,82,19,17,36,3,6,154
8478178,Raddysh,Darren,D,975000.0,82,6,32,38,2,9,113
8477919,Gaudreau,Frederick,C,2100000.0,82,13,16,30,4,6,117
8480028,Frost,Morgan,C,4375000.0,82,11,27,37,3,17,152
8477494,Drouin,Jonathan,L,4000000.0,82,20,45,66,6,22,117
8480220,Cates,Noah,L,4000000.0,82,13,20,33,1,2,113
8481596,Pinto,Shane,C,3750000.0,82,22,26,48,4,6,177
8475799,Niederreiter,Nino,R,4000000.0,82,18,19,37,4,8,162
8483808,Kuzmenko,Andrei,L,4300000.0,82,27,39,66,6,25,135
8477444,Burakovsky,Andre,L,5500000.0,82,11,23,34,3,11,133
8473986,Killorn,Alex,L,6250000.0,82,21,20,41,3,5,156
8482737,Bolduc,Zack,R,863333.0,82,20,17,36,5,8,132
8474037,van Riemsdyk,James,L,1000000.0,82,16,26,43,3,7,125
8478133,Evans,Jake,C,2850000.0,82,11,22,33,0,0,80
8473533,Staal,Jordan,C,2900000.0,82,13,23,36,0,0,121
8476921,Martinook,Jordan,L,3050000.0,82,15,20,35,0,0,129
8482110,Mercer,Dawson,C,4000000.0,82,19,15,35,5,7,138
8476892,Parayko,Colton,D,6500000.0,82,16,22,38,1,1,158
8477495,Jones,Seth,D,7000000.0,82,9,28,36,1,14,197
8484958,Tsyplakov,Maxim,R,2250000.0,82,11,27,37,1,3,124
8480009,Tolvanen,Eeli,R,3475000.0,82,23,12,35,2,5,139
8473422,Foligno,Nick,L,4500000.0,82,16,21,37,2,4,109
8477505,Wennberg,Alexander,C,5000000.0,82,11,27,37,3,11,87
8475745,Coyle,Charlie,C,5250000.0,82,9,47,56,0,17,99
8480064,Norris,Joshua,C,7950000.0,82,27,27,55,0,0,55
8482092,Greig,Ridly,C,3250000.0,82,14,22,36,3,9,125
8482259,McMann,Bobby,C,1350000.0,82,22,16,38,3,7,187
8475149,Johansson,Marcus,L,800000.0,82,13,26,39,1,7,138
8476392,Lowry,Adam,C,3250000.0,82,18,20,38,0,0,111
8481624,Mikheyev,Ilya,R,4037500.0,82,20,14,35,0,0,141
8482511,Lohrei,Mason,D,3200000.0,82,5,30,35,1,17,98
8482705,Sillinger,Cole,C,2250000.0,82,14,27,41,2,4,160
8477503,Domi,Max,C,3750000.0,82,9,28,37,0,8,103
8477989,Dvorak,Christian,C,5400000.0,82,12,21,33,1,2,104
8475765,Tarasenko,Vladimir,R,4750000.0,82,11,23,34,1,8,136
8480829,Kotkaniemi,Jesperi,C,4820000.0,82,13,22,35,0,1,121
8475218,Ekholm,Mattias,D,6000000.0,82,11,30,42,4,9,180
8478500,Provorov,Ivan,D,8500000.0,82,7,26,33,1,3,100
8476869,Skjei,Brady,D,7000000.0,82,10,23,33,2,10,156
8479425,Hronek,Filip,D,7250000.0,82,7,38,44,0,9,112
8477932,Ekblad,Aaron,D,6100000.0,82,4,44,48,0,16,155
8474565,Pietrangelo,Alex,,8800000.0,82,5,33,38,0,2,142
8477498,Nurse,Darnell,D,9250000.0,82,5,30,36,0,2,203
8480762,Robinson,Eric,L,1700000.0,82,14,18,32,0,0,110
8479671,Olivier,Mathieu,R,3000000.0,82,18,14,32,0,0,111
8478542,Rodrigues,Evan,C,3000000.0,82,15,17,32,4,7,161
8481068,Sharangovich,Yegor,C,5750000.0,82,19,17,36,6,9,144
8474150,Backlund,Mikael,C,4500000.0,82,16,18,35,1,6,189
8477456,Compher,J.T.,L,5100000.0,82,12,23,35,5,10,106
8474716,Spurgeon,Jared,D,7575000.0,82,9,31,40,1,11,133
8482762,Edvinsson,Simon,D,894167.0,82,7,25,33,0,0,90
8482713,Samoskevich,Mackie,R,775000.0,82,17,18,35,5,13,147
8480068,Poehling,Ryan,C,1900000.0,82,14,23,37,2,4,86
8476872,Laughton,Scott,L,1500000.0,82,8,8,16,0,0,82
8478462,Roy,Nicolas,C,3000000.0,82,17,18,36,2,5,124
8480113,Iafallo,Alex,L,3666667.0,82,15,16,31,6,10,109
8478397,Andersson,Rasmus,D,4550000.0,82,11,20,31,3,9,165
8476875,Matheson,Mike,D,4875000.0,82,6,26,32,1,10,153
8476826,Gourde,Yanni,C,2333333.0,82,4,51,55,0,4,137
8478055,Forsling,Gustav,D,5750000.0,82,11,20,32,0,1,200
8474151,McDonagh,Ryan,D,6750000.0,82,4,27,31,0,1,78
8477015,Brown,Connor,R,3000000.0,82,13,17,30,0,0,123
8470621,Perry,Corey,R,2000000.0,82,19,11,30,4,7,101
8478434,Kolesar,Keegan,R,2500000.0,82,12,18,30,0,0,88
8476438,Saad,Brandon,L,2000000.0,82,17,23,40,0,3,147
8480873,Sandin,Rasmus,D,4600000.0,82,4,26,30,1,5,78
8481568,Vlasic,Alex,D,4600000.0,82,4,26,30,1,12,103
8478882,Gavrikov,Vladislav,D,7000000.0,82,5,25,30,0,0,112
8471724,Letang,Kris,D,6100000.0,82,10,23,33,4,13,182
8477948,Sanheim,Travis,D,6250000.0,82,8,22,30,0,2,139
8475184,Kreider,Chris,L,6500000.0,82,27,10,36,7,8,183
8482122,Faber,Brock,D,8500000.0,82,11,20,30,2,11,130
8478109,Olofsson,Victor,L,1575000.0,82,22,20,42,9,12,160
8480891,Kesselring,Michael,D,1400000.0,82,7,22,29,1,3,150
8478046,Heinen,Danton,L,2250000.0,82,9,23,32,0,0,108
8475784,Skinner,Jeff,L,3000000.0,82,18,15,33,0,2,164
8476469,Armia,Joel,R,2500000.0,82,11,18,29,0,3,105
8475171,Ekman-Larsson,Oliver,D,3500000.0,82,4,27,31,2,4,126
8475220,Foligno,Marcus,L,4000000.0,82,15,16,31,0,0,97
8479525,Colton,Ross,C,4000000.0,82,22,17,39,7,9,168
8477969,Pettersson,Marcus,D,5500000.0,82,3,26,29,0,0,71
8481598,Broberg,Philip,D,4580917.0,82,10,25,35,0,2,117
8478493,Eriksson Ek,Joel,C,5250000.0,82,25,27,52,9,18,250
8476448,Karlsson,William,C,5900000.0,82,14,31,45,0,9,184
8470613,Burns,Brent,D,1000000.0,82,6,23,29,0,3,174
8484145,Benson,Zach,L,950000.0,82,11,20,31,3,4,131
8481522,Krebs,Peyton,C,1450000.0,82,10,18,28,1,1,81
8481606,Spence,Jordan,D,1500000.0,82,4,25,29,0,5,89
8478831,Stenlund,Kevin,C,2000000.0,82,14,14,28,0,0,102
8474679,Nyquist,Gustav,R,3250000.0,82,7,19,26,4,7,119
8477021,Kerfoot,Alexander,C,3000000.0,82,11,17,28,0,1,102
8476457,Larsson,Adam,D,5250000.0,82,7,21,28,0,0,112
8478233,Mangiapane,Andrew,L,3600000.0,82,14,14,28,0,4,96
8476292,Palat,Ondrej,L,6000000.0,82,16,14,30,2,4,102
8475200,Orlov,Dmitry,D,6500000.0,82,6,24,30,0,1,126
8476871,Pearson,Tanner,L,1000000.0,82,13,16,28,0,0,115
8482074,Zary,Connor,C,3775000.0,82,20,21,41,2,14,169
8479390,Raddysh,Taylor,R,1500000.0,82,7,20,28,0,1,95
8475343,Dowd,Nic,C,3000000.0,82,14,13,27,0,0,86
8480855,McBain,Jack,C,4250000.0,82,13,14,27,1,3,90
8478020,Amadio,Michael,R,2600000.0,82,13,18,31,1,1,97
8474641,Henrique,Adam,C,3000000.0,82,12,15,27,2,6,105
8480817,Miller,K'Andre,D,7500000.0,82,8,22,30,0,2,122
8478042,Arvidsson,Viktor,L,4000000.0,82,18,15,33,1,4,193
8476958,Slavin,Jaccob,D,6395955.0,82,6,22,28,0,0,113
8476981,Anderson,Josh,R,5500000.0,82,15,12,27,0,0,110
8478874,Gaudette,Adam,R,2000000.0,82,19,7,26,3,3,91
8476927,Blueger,Teddy,C,1800000.0,82,8,18,26,0,0,94
8479371,Fabbro,Dante,D,4125000.0,82,12,22,34,0,0,108
