ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_goals,proj_assists,proj_points,proj_ppg,proj_ppa,proj_sog
8478483,Marner,Mitch,R,12000000.0,82,29,73,102,8,34,184
8478427,Aho,Sebastian,C,9750000.0,82,34,48,82,8,26,223
8478010,Point,Brayden,C,9500000.0,82,46,43,90,17,32,216
8479314,Tkachuk,Matthew,L,9500000.0,82,33,61,94,13,35,274
8478439,Konecny,Travis,R,8750000.0,82,31,45,76,7,15,225
8482679,Coronato,Matt,R,6500000.0,82,15,17,32,3,10,197
8483512,Savoie,Matt,C,886667.0,82,0,12,12,0,0,74
8476853,Rielly,Morgan,D,7500000.0,82,7,44,51,1,18,154
8481559,Hughes,Luke,D,0.0,82,8,41,49,2,21,132
8474141,Kane,Patrick,R,3000000.0,82,26,41,68,9,28,212
8476881,Hertl,Tomas,C,6750000.0,82,31,32,63,13,26,181
8476462,Hamilton,Dougie,D,9000000.0,82,15,42,57,10,25,243
8475692,Zuccarello,Mats,R,4125000.0,82,20,49,69,5,28,193
8475158,O'Reilly,Ryan,C,4500000.0,82,24,38,62,9,21,161
8473994,Benn,Jamie,L,1000000.0,82,21,37,58,5,17,156
8478109,Olofsson,Victor,L,1575000.0,82,22,20,42,9,12,160
8484540,Smith,Craig,D,0.0,82,0,0,0,0,0,0
8482929,Lilleberg,Emil,D,800000,0,0,0,0,0,0
Cowan,Easton,C (NCAA)
